Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#,  File
   46.33,     954.7,  80.8     ,1.627e-003,0.622,  1.34%,   0.70,     10592,  1,  1110c-LONGBKG.Spe
   63.09,    2348.7,  100.4    ,4.002e-003,0.874,  1.38%,   0.84,     14200,  2,  1110c-LONGBKG.Spe
   66.37,     357.7,  87.2     ,6.094e-004,0.808,  1.22%,   0.56,     10817,  3,  1110c-LONGBKG.Spe
   72.66,    1167.7,  105.2    ,1.990e-003,0.947,  1.30%,   1.53,     11764,  4,  1110c-LONGBKG.Spe
   74.81,    2874.4,  105.6    ,4.897e-003,0.780,  1.04%,   1.64,     10037,  5,  1110c-LONGBKG.Spe
   76.95,    1610.0,  98.6     ,2.743e-003,0.837,  1.09%,   0.70,     10598,  6,  1110c-LONGBKG.Spe
   84.42,    1968.0,  121.7    ,3.353e-003, 1.30,  1.55%,   1.08,     16671,  7,  1110c-LONGBKG.Spe
   87.19,     933.9,  95.6     ,1.591e-003,0.810,  0.93%,   1.60,     10442,  8,  1110c-LONGBKG.Spe
   89.79,     539.9,  102.2    ,9.198e-004, 1.02,  1.14%,   0.99,    7919.0,  9,  1110c-LONGBKG.Spe
   92.49,    6381.6,  127.7    ,1.087e-002, 1.00,  1.09%,   0.77,     18767, 10,  1110c-LONGBKG.Spe
  143.71,     935.9,  106.1    ,1.595e-003,0.960,  0.67%,   0.88,     17815, 11,  1110c-LONGBKG.Spe
  185.70,    4720.9,  120.9    ,8.043e-003, 1.00,  0.54%,   1.25,     20094, 12,  1110c-LONGBKG.Spe
  205.31,     246.4,  77.6     ,4.198e-004,0.622,  0.30%,   0.41,     10236, 13,  1110c-LONGBKG.Spe
  238.59,    4991.6,  112.4    ,8.505e-003,0.947,  0.40%,   1.87,     15222, 14,  1110c-LONGBKG.Spe
