Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#,  File
   72.39,    2850.6,  129.0    ,7.537e-001, 1.23,  1.74%,   0.66,     18000,  1,  A1-01.Spe
   74.55,    4930.7,  137.1    ,1.304e+000, 1.23,  1.70%,   3.01,     19624,  2,  A1-01.Spe
   84.39,    2365.7,  122.6    ,6.255e-001, 1.47,  1.78%,   3.66,     24861,  3,  A1-01.Spe
   91.87,     857.6,  113.0    ,2.268e-001, 1.60,  1.79%,   0.91,     15795,  4,  A1-01.Spe
  221.14,    1220.3,  96.1     ,3.227e-001, 1.46,  0.67%,   0.93,     21474,  5,  A1-01.Spe
  510.74,    1358.9,  88.8     ,3.593e-001, 2.96,  0.58%,   1.28,     11596,  6,  A1-01.Spe
  554.04,   20930.6,  156.6    ,5.534e+000, 1.67,  0.30%,   2.21,     25178,  7,  A1-01.Spe
  558.83,    2406.8,  77.5     ,6.364e-001, 1.59,  0.29%,   0.73,    6467.0,  8,  A1-01.Spe
  618.79,   11669.8,  120.3    ,3.086e+000, 1.74,  0.28%,   1.70,     15964,  9,  A1-01.Spe
  698.05,    6894.1,  94.6     ,1.823e+000, 1.80,  0.26%,   1.18,     10084, 10,  A1-01.Spe
  776.24,   19197.2,  145.3    ,5.076e+000, 1.86,  0.24%,   2.56,     21928, 11,  A1-01.Spe
  827.57,    5370.8,  83.8     ,1.420e+000, 1.90,  0.23%,   1.13,    7979.0, 12,  A1-01.Spe
 1043.81,    5005.7,  77.5     ,1.324e+000, 2.00,  0.19%,   1.94,    6589.0, 13,  A1-01.Spe
 1317.30,    4513.1,  69.9     ,1.193e+000, 2.32,  0.18%,   3.04,    5042.0, 14,  A1-01.Spe
 1368.53,    9603.4,  100.1    ,2.539e+000, 2.32,  0.17%,   5.56,     10126, 15,  A1-01.Spe
 1474.75,    2450.9,  51.7     ,6.480e-001, 2.35,  0.16%,   2.02,    2762.0, 16,  A1-01.Spe
 1731.56,     325.3,  23.5     ,8.601e-002, 3.97,  0.23%,   1.10,     658.0, 17,  A1-01.Spe
 2242.55,     770.1,  32.9     ,2.036e-001, 3.86,  0.17%,   1.34,    1483.0, 18,  A1-01.Spe
 2753.50,    5333.0,  74.2     ,1.410e+000, 3.36,  0.12%,   6.35,    5607.0, 19,  A1-01.Spe
