Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#,  File
   92.46,    5448.3,  657.0    ,1.604e-002, 1.61,  1.74%,   1.63,    437350,  1,  C3-01.Spe
   94.56,    3621.1,  530.4    ,1.066e-002, 1.06,  1.12%,   1.03,    284150,  2,  C3-01.Spe
   98.35,    5122.4,  466.0    ,1.508e-002,0.827,  0.84%,   0.78,    361774,  3,  C3-01.Spe
  121.73,    7797.9,  438.1    ,2.295e-002,0.874,  0.72%,   1.35,    226003,  4,  C3-01.Spe
  123.60,    6226.0,  500.2    ,1.833e-002, 1.21,  0.98%,   1.71,    221202,  5,  C3-01.Spe
  133.01,    6371.9,  413.3    ,1.875e-002,0.885,  0.67%,   1.49,    222457,  6,  C3-01.Spe
  136.10,    2082.6,  455.0    ,6.130e-003, 1.14,  0.84%,   0.99,    249419,  7,  C3-01.Spe
  142.69,    1848.0,  363.3    ,5.439e-003,0.768,  0.54%,   0.72,    177300,  8,  C3-01.Spe
  145.42,   14175.4,  405.1    ,4.172e-002,0.913,  0.63%,   1.36,    212022,  9,  C3-01.Spe
  159.37,   23981.8,  388.4    ,7.059e-002,0.898,  0.56%,   0.84,    226459, 10,  C3-01.Spe
  177.41,    1498.5,  367.2    ,4.411e-003, 1.14,  0.65%,   1.02,    183641, 11,  C3-01.Spe
  185.68,    2735.7,  318.6    ,8.052e-003,0.931,  0.50%,   0.90,    159765, 12,  C3-01.Spe
  192.34,    7094.0,  315.5    ,2.088e-002,0.935,  0.49%,   0.70,    153370, 13,  C3-01.Spe
  197.97,    1777.5,  337.6    ,5.232e-003, 1.18,  0.60%,   1.21,    201442, 14,  C3-01.Spe
  208.46,    1528.4,  327.7    ,4.499e-003, 1.23,  0.59%,   0.96,    182446, 15,  C3-01.Spe
  216.07,    3360.9,  292.2    ,9.892e-003, 1.02,  0.48%,   1.11,    132054, 16,  C3-01.Spe
  238.67,    2819.0,  267.5    ,8.297e-003, 1.07,  0.45%,   1.21,    108662, 17,  C3-01.Spe
  244.66,    1669.0,  266.4    ,4.912e-003, 1.14,  0.47%,   1.04,    104518, 18,  C3-01.Spe
  299.58,    4623.9,  339.7    ,1.361e-002, 2.80,  0.93%,   2.00,    110386, 19,  C3-01.Spe
  311.93,   11791.0,  224.7    ,3.471e-002, 1.03,  0.33%,   0.66,     72047, 20,  C3-01.Spe
  320.11,   66628.5,  323.5    ,1.961e-001, 1.07,  0.34%,   1.26,    125844, 21,  C3-01.Spe
  340.58,    1550.6,  191.1    ,4.564e-003, 1.14,  0.33%,   1.91,     43657, 22,  C3-01.Spe
  344.22,    6952.1,  224.3    ,2.046e-002, 1.43,  0.42%,   4.84,     60811, 23,  C3-01.Spe
  351.87,    1763.6,  197.3    ,5.191e-003, 1.33,  0.38%,   0.84,     60429, 24,  C3-01.Spe
  373.28,    1453.0,  157.8    ,4.277e-003,0.968,  0.26%,   0.84,     38340, 25,  C3-01.Spe
  388.65,    3430.6,  166.5    ,1.010e-002, 1.09,  0.28%,   0.81,     42097, 26,  C3-01.Spe
  482.23,    6709.3,  158.2    ,1.975e-002, 1.24,  0.26%,   1.20,     31297, 27,  C3-01.Spe
  487.03,    1174.5,  173.9    ,3.457e-003, 1.96,  0.40%,   1.18,     35760, 28,  C3-01.Spe
  496.47,    4044.7,  152.7    ,1.191e-002, 1.35,  0.27%,   0.80,     33934, 29,  C3-01.Spe
  511.00,   10941.5,  218.0    ,3.221e-002, 2.66,  0.52%,   1.12,     42398, 30,  C3-01.Spe
  514.04,  131469.3,  392.6    ,3.870e-001, 1.23,  0.24%,   5.83,    154035, 31,  C3-01.Spe
  554.37,    4612.7,  137.0    ,1.358e-002, 1.20,  0.22%,   1.19,     27213, 32,  C3-01.Spe
  563.49,     690.7,  132.8    ,2.033e-003, 1.47,  0.26%,   0.61,     24465, 33,  C3-01.Spe
  569.40,    1069.6,  128.0    ,3.148e-003, 1.40,  0.25%,   1.21,     15051, 34,  C3-01.Spe
  583.22,    1292.6,  123.4    ,3.805e-003, 1.22,  0.21%,   0.84,     23736, 35,  C3-01.Spe
  602.91,    3248.0,  143.9    ,9.560e-003, 1.60,  0.27%,   1.94,     20121, 36,  C3-01.Spe
  604.75,    5410.2,  142.5    ,1.592e-002, 1.30,  0.22%,   1.12,     17762, 37,  C3-01.Spe
  609.38,    2023.7,  132.0    ,5.956e-003, 1.42,  0.23%,   0.81,     21364, 38,  C3-01.Spe
  615.24,     417.9,  96.2     ,1.230e-003,0.806,  0.13%,   0.79,     14639, 39,  C3-01.Spe
  619.24,    2487.5,  134.2    ,7.322e-003, 1.42,  0.23%,   0.68,     24023, 40,  C3-01.Spe
  666.37,    2105.0,  128.3    ,6.196e-003, 1.31,  0.20%,   1.13,     24078, 41,  C3-01.Spe
  698.44,    1108.6,  113.5    ,3.263e-003, 1.20,  0.17%,   0.83,     20027, 42,  C3-01.Spe
  723.97,    1255.7,  137.0    ,3.696e-003, 1.95,  0.27%,   1.31,     28922, 43,  C3-01.Spe
  756.81,     859.3,  111.4    ,2.529e-003, 1.36,  0.18%,   0.90,     20201, 44,  C3-01.Spe
  765.73,     871.6,  108.2    ,2.566e-003, 1.30,  0.17%,   0.94,     18333, 45,  C3-01.Spe
  776.55,    3938.8,  128.2    ,1.159e-002, 1.44,  0.19%,   5.70,     24500, 46,  C3-01.Spe
  795.86,    3998.1,  125.3    ,1.177e-002, 1.48,  0.19%,   0.87,     22284, 47,  C3-01.Spe
  827.80,    1226.7,  115.2    ,3.611e-003, 1.46,  0.18%,   0.81,     20450, 48,  C3-01.Spe
  834.80,    2015.1,  117.0    ,5.931e-003, 1.41,  0.17%,   0.80,     19829, 49,  C3-01.Spe
  879.61,    1190.7,  138.7    ,3.505e-003, 2.05,  0.23%,   0.85,     24391, 50,  C3-01.Spe
  889.29,  157497.6,  414.2    ,4.636e-001, 1.55,  0.17%,   2.44,    176699, 51,  C3-01.Spe
  911.06,    1223.7,  112.9    ,3.602e-003, 1.60,  0.18%,   0.81,     18713, 52,  C3-01.Spe
  964.35,    1714.6,  115.6    ,5.047e-003, 2.24,  0.23%,   1.37,     14080, 53,  C3-01.Spe
  968.87,     350.8,  73.7     ,1.032e-003,0.998,  0.10%,   0.87,    7982.0, 54,  C3-01.Spe
 1043.95,    1035.1,  80.0     ,3.047e-003, 1.61,  0.16%,   0.90,    9630.0, 55,  C3-01.Spe
 1076.76,   73030.0,  280.2    ,2.150e-001, 1.65,  0.15%,   2.63,     81888, 56,  C3-01.Spe
 1085.84,    1060.1,  72.8     ,3.120e-003, 1.49,  0.14%,   0.74,    7807.0, 57,  C3-01.Spe
 1099.23,   51373.0,  236.8    ,1.512e-001, 1.67,  0.15%,   1.92,     58685, 58,  C3-01.Spe
 1112.08,    1327.6,  80.9     ,3.908e-003, 1.87,  0.17%,   1.25,    6390.0, 59,  C3-01.Spe
 1115.53,   18447.2,  155.6    ,5.430e-002, 1.64,  0.15%,   0.86,     23131, 60,  C3-01.Spe
 1120.52,  133484.6,  374.2    ,3.929e-001, 1.72,  0.15%,   3.95,    137933, 61,  C3-01.Spe
 1173.18,   10057.0,  113.8    ,2.960e-002, 1.76,  0.15%,   1.47,     13439, 62,  C3-01.Spe
 1177.83,     656.1,  59.6     ,1.931e-003, 1.99,  0.17%,   1.20,    3725.0, 63,  C3-01.Spe
 1221.48,     356.5,  55.6     ,1.049e-003, 2.00,  0.16%,   0.88,    4629.0, 64,  C3-01.Spe
 1230.98,     118.0,  34.8     ,3.472e-004,0.834,  0.07%,   1.15,    1779.0, 65,  C3-01.Spe
 1237.95,     218.3,  48.3     ,6.427e-004, 1.56,  0.13%,   1.11,    3484.0, 66,  C3-01.Spe
 1274.48,     476.0,  50.8     ,1.401e-003, 1.71,  0.13%,   0.93,    4049.0, 67,  C3-01.Spe
 1291.53,   35949.1,  194.9    ,1.058e-001, 1.85,  0.14%,   2.06,     38001, 68,  C3-01.Spe
 1296.99,    2294.2,  65.9     ,6.753e-003, 1.83,  0.14%,   0.92,    4484.0, 69,  C3-01.Spe
 1317.31,    1079.3,  54.4     ,3.177e-003, 1.83,  0.14%,   1.08,    3967.0, 70,  C3-01.Spe
 1332.39,    8957.7,  104.7    ,2.637e-002, 1.90,  0.14%,   1.56,     11918, 71,  C3-01.Spe
